ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;17;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.336338
fashionmnist_:none:;8;20;none;0.902043
fashionmnist_:nodes_topk_0.3-0.3:_no;6;20;nodes_topk_0.3-0.3;0.897736
fashionmnist_:nodes_topk_0.3-0.3:;13;20;nodes_topk_0.3-0.3;0.900942
cifar10_:edges_random_0.0-0.3:_no;11;20;edges_random_0.0-0.3;0.652244
cifar10_:edges_random_0.0-0.3:;11;20;edges_random_0.0-0.3;0.639724
fashionmnist_:nodes_sample_0.3-0.3:_no;15;20;nodes_sample_0.3-0.3;0.905749
fashionmnist_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.753405
cifar10_:nodes_topk_0.0-0.3:_no;11;20;nodes_topk_0.0-0.3;0.644331
cifar10_:nodes_topk_0.0-0.3:;11;20;nodes_topk_0.0-0.3;0.640124
fashionmnist_:nodes_random_0.3-0.3:_no;20;20;nodes_random_0.3-0.3;0.90595
fashionmnist_:nodes_random_0.3-0.3:;10;20;nodes_random_0.3-0.3;0.466346
fashionmnist_:edges_topk_0.3-0.3:_no;9;20;edges_topk_0.3-0.3;0.904046
fashionmnist_:edges_topk_0.3-0.3:;9;20;edges_topk_0.3-0.3;0.905449
cifar10_:edges_random_0.0-0.6:_no;16;20;edges_random_0.0-0.6;0.666366
cifar10_:edges_random_0.0-0.6:;16;20;edges_random_0.0-0.6;0.639223
fashionmnist_:edges_sample_0.3-0.3:_no;12;20;edges_sample_0.3-0.3;0.903145
fashionmnist_:edges_sample_0.3-0.3:;9;20;edges_sample_0.3-0.3;0.901042
cifar10_:nodes_topk_0.0-0.6:_no;18;20;nodes_topk_0.0-0.6;0.667768
cifar10_:nodes_topk_0.0-0.6:;18;20;nodes_topk_0.0-0.6;0.64984
fashionmnist_:edges_random_0.3-0.3:_no;12;20;edges_random_0.3-0.3;0.907051
fashionmnist_:edges_random_0.3-0.3:;15;20;edges_random_0.3-0.3;0.898738
cifar10_loss_01_no;20;20;nodes_topk_0.0-0.6;0.547676
cifar10_loss_01;18;20;nodes_topk_0.0-0.6;0.592748
